frame, rotation
253,-0.960000000000008
254,-1.0800000000000125
255,-1.039999999999992
256,-1.0
257,-0.8000000000000114
258,-0.8199999999999932
259,-0.7599999999999909
260,-0.5800000000000125
261,-0.5800000000000125
262,-0.30000000000001137
263,-0.30000000000001137
264,-0.12000000000000455
265,0.0
266,0.18000000000000682
267,0.2400000000000091
268,0.37999999999999545
269,0.5800000000000125
270,0.7400000000000091
271,0.7800000000000011
272,1.0200000000000102
273,1.0800000000000125
274,1.2800000000000011
275,1.3600000000000136
276,1.5200000000000102
277,1.539999999999992
278,1.7199999999999989
279,1.5600000000000023
280,1.1200000000000045
281,0.9199999999999875
282,0.8600000000000136
283,1.0200000000000102
284,1.0200000000000102
285,1.1599999999999966
286,1.0600000000000023
287,1.0800000000000125
288,0.9799999999999898
289,0.7599999999999909
